,사직동,삼청동,부암동,평창동,무악동,교남동,가회동,종로1·2·3·4가동,종로5·6가동,이화동,창신1동,창신2동,창신3동,숭인1동,숭인2동,청운효자동,혜화동,소공동,회현동,명동,필동,장충동,광희동,을지로동,신당5동,황학동,중림동,신당동,다산동,약수동,청구동,동화동,후암동,용산2가동,남영동,원효로2동,효창동,용문동,이촌1동,이촌2동,이태원1동,이태원2동,서빙고동,보광동,청파동,원효로1동,한강로동,한남동,왕십리2동,마장동,사근동,행당1동,행당2동,응봉동,금호1가동,금호4가동,성수1가1동,성수1가2동,성수2가1동,성수2가3동,송정동,용답동,왕십리도선동,금호2·3가동,옥수동,화양동,군자동,중곡1동,중곡2동,중곡3동,중곡4동,능동,구의1동,구의2동,구의3동,광장동,자양1동,자양2동,자양3동,자양4동,회기동,휘경1동,휘경2동,청량리동,용신동,제기동,전농1동,전농2동,답십리2동,장안1동,장안2동,이문1동,이문2동,답십리1동,면목2동,면목4동,면목5동,면목7동,상봉1동,상봉2동,중화1동,중화2동,묵1동,묵2동,망우3동,신내1동,신내2동,면목본동,면목3·8동,망우본동,돈암1동,돈암2동,안암동,보문동,정릉1동,정릉2동,정릉3동,정릉4동,길음1동,길음2동,월곡1동,월곡2동,장위1동,장위2동,장위3동,성북동,삼선동,동선동,종암동,석관동,번1동,번2동,번3동,수유1동,수유2동,수유3동,삼양동,미아동,송중동,송천동,삼각산동,우이동,인수동,쌍문1동,쌍문2동,쌍문3동,쌍문4동,방학1동,방학2동,방학3동,창1동,창2동,창3동,창4동,창5동,도봉1동,도봉2동,월계1동,월계2동,월계3동,공릉2동,하계1동,하계2동,중계본동,중계1동,중계4동,상계1동,상계2동,상계5동,상계8동,상계9동,상계10동,상계3·4동,상계6·7동,중계2·3동,공릉1동,녹번동,불광1동,갈현1동,갈현2동,구산동,대조동,응암1동,응암2동,신사1동,신사2동,증산동,수색동,진관동,불광2동,응암3동,역촌동,천연동,홍제1동,홍제3동,홍제2동,홍은1동,홍은2동,남가좌1동,남가좌2동,북가좌1동,북가좌2동,충현동,북아현동,신촌동,연희동,용강동,대흥동,염리동,신수동,서교동,합정동,망원1동,망원2동,연남동,성산1동,성산2동,상암동,도화동,서강동,공덕동,아현동,목1동,목2동,목3동,목4동,신월1동,신월2동,신월3동,신월4동,신월5동,신월6동,신월7동,신정1동,신정2동,신정3동,신정6동,신정7동,목5동,신정4동,염창동,등촌1동,등촌2동,등촌3동,화곡본동,화곡2동,화곡3동,화곡4동,화곡6동,화곡8동,가양1동,가양2동,가양3동,발산1동,공항동,방화1동,방화2동,방화3동,화곡1동,우장산동,신도림동,구로1동,구로3동,구로4동,구로5동,고척1동,고척2동,개봉2동,개봉3동,오류1동,수궁동,가리봉동,구로2동,개봉1동,오류2동,항동,가산동,독산1동,독산2동,독산3동,독산4동,시흥1동,시흥2동,시흥3동,시흥4동,시흥5동,여의동,당산1동,당산2동,양평1동,양평2동,신길1동,신길3동,신길4동,신길5동,신길6동,신길7동,대림1동,대림2동,대림3동,영등포본동,영등포동,도림동,문래동,노량진2동,상도1동,상도2동,상도3동,상도4동,사당1동,사당3동,사당4동,사당5동,대방동,신대방1동,신대방2동,흑석동,노량진1동,사당2동,보라매동,청림동,행운동,낙성대동,중앙동,인헌동,남현동,서원동,신원동,서림동,신사동(관악),신림동,난향동,조원동,대학동,은천동,성현동,청룡동,난곡동,삼성동,미성동,서초1동,서초2동,서초3동,서초4동,잠원동,반포본동,반포1동,반포2동,반포3동,반포4동,방배본동,방배1동,방배2동,방배3동,방배4동,양재1동,양재2동,내곡동,신사동,논현1동,논현2동,삼성1동,삼성2동,대치1동,대치4동,역삼1동,역삼2동,도곡1동,도곡2동,개포1동,개포4동,일원본동,일원1동,개포3동,수서동,세곡동,압구정동,청담동,대치2동,개포2동,풍납1동,풍납2동,거여1동,거여2동,마천1동,마천2동,방이1동,방이2동,오륜동,오금동,송파1동,송파2동,석촌동,삼전동,가락본동,가락1동,가락2동,문정1동,문정2동,잠실본동,잠실4동,잠실6동,잠실7동,잠실2동,잠실3동,장지동,위례동,강일동,상일동,명일1동,명일2동,고덕1동,고덕2동,암사2동,암사3동,천호1동,천호3동,성내1동,성내2동,성내3동,둔촌1동,둔촌2동,암사1동,천호2동,길동,
창신1동,3,1,0,1,0,0,0,2,6,5,0,36,18,29,22,2,0,0,0,0,1,0,2,2,5,5,0,2,1,1,3,1,2,0,1,0,1,0,0,1,1,0,0,1,1,3,1,0,0,0,0,1,2,0,1,0,1,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,1,1,0,1,0,1,11,6,6,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,6,0,0,1,15,2,0,0,3,4,1,0,1,1,2,0,3,8,0,2,2,0,0,1,2,0,4,2,0,0,2,2,0,3,0,1,0,0,2,0,1,0,0,0,0,0,1,1,0,2,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,4,0,1,0,1,1,0,0,0,1,0,0,2,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,2,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0,0,0,0,0,2,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,367
창신2동,0,0,0,1,1,0,0,6,9,2,22,0,19,12,14,2,1,0,0,0,0,2,3,1,3,4,1,1,1,4,1,1,0,0,0,0,0,0,0,1,0,2,3,0,0,1,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,2,2,0,2,1,0,0,2,0,1,0,1,2,0,0,0,0,0,1,0,0,0,1,1,6,4,0,4,0,0,0,1,0,2,0,0,0,2,2,3,0,1,1,1,2,2,5,1,0,3,0,7,7,0,3,2,4,0,2,3,4,4,0,0,15,8,10,6,1,2,2,0,2,1,3,4,4,3,4,1,0,3,0,1,0,0,0,0,0,6,1,0,1,0,0,1,3,0,1,0,0,3,0,0,1,1,0,2,1,1,1,6,0,1,1,5,1,1,1,2,3,0,0,0,1,1,0,0,1,2,6,1,1,1,1,0,1,0,1,0,1,0,1,2,0,0,2,0,0,0,0,0,0,4,0,0,1,0,0,3,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,1,1,3,0,1,0,0,0,0,0,1,2,0,0,0,0,0,2,3,1,2,0,1,0,0,0,1,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,433
창신3동,4,0,0,1,3,2,0,7,0,1,18,27,0,17,6,0,0,0,0,0,1,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,3,2,0,1,2,3,0,0,0,0,4,0,0,0,1,2,2,1,2,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,3,0,0,1,0,1,3,2,0,0,1,0,1,0,0,4,3,8,2,26,1,1,3,7,3,2,0,4,1,4,0,3,19,4,14,2,2,4,1,0,0,5,0,1,1,5,1,0,4,3,0,0,0,0,0,0,0,0,1,4,1,0,0,1,1,4,0,0,0,1,5,0,1,0,2,0,0,0,0,2,0,1,1,1,0,0,1,0,0,0,0,0,0,4,0,1,1,0,0,2,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,3,1,0,1,0,0,2,0,0,4,0,3,0,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4,1,0,1,0,1,0,0,0,1,4,0,0,0,0,0,3,0,3,0,0,0,2,1,4,0,0,0,0,0,0,1,0,0,0,0,1,0,1,4,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,6,0,0,0,2,0,2,0,0,0,0,0,0,2,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,417
숭인1동,4,5,0,0,0,0,0,2,3,5,26,14,24,0,32,0,0,0,1,0,0,0,2,0,2,16,0,3,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,1,5,0,0,1,1,0,0,0,0,0,0,0,0,4,4,2,1,2,2,0,0,0,0,1,3,0,0,1,0,0,0,4,0,0,0,0,3,0,4,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,3,0,1,0,1,2,3,0,1,4,28,2,6,0,2,0,2,3,8,2,0,0,2,16,2,3,2,0,0,0,2,1,1,0,1,2,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,2,0,0,3,0,0,0,0,1,2,0,0,0,1,0,0,3,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,1,0,0,2,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,3,2,0,1,0,2,0,0,2,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,2,0,0,0,0,0,1,0,0,1,0,3,1,0,0,1,0,0,1,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,410
숭인2동,3,0,0,2,1,1,0,9,4,2,16,14,10,23,0,1,4,2,1,1,0,4,6,9,14,32,2,10,7,0,2,2,2,0,2,0,1,0,2,0,1,1,0,2,2,5,2,1,8,4,1,4,0,2,10,1,2,4,1,2,0,8,14,3,1,3,4,4,1,1,2,0,4,0,2,3,3,5,1,5,0,3,0,2,41,8,11,0,5,4,0,1,0,1,1,0,0,1,3,6,1,1,1,2,3,1,1,5,2,11,8,0,18,63,11,3,2,1,9,7,4,6,7,7,3,6,17,13,15,4,8,1,5,11,1,4,5,7,2,2,5,1,1,0,3,2,1,7,5,2,2,2,0,7,1,2,5,1,1,8,2,1,0,0,0,0,0,2,1,4,3,2,0,0,1,1,1,5,0,0,2,11,4,1,6,0,2,1,3,6,2,2,0,4,1,2,1,6,0,1,1,0,3,2,4,4,3,4,0,0,4,2,2,0,2,1,10,1,0,3,9,9,1,0,4,0,0,1,0,1,0,0,1,0,0,1,0,2,0,2,1,2,0,0,2,0,0,1,4,2,0,0,0,0,2,0,1,0,1,0,2,3,1,1,2,1,0,0,0,2,1,0,5,0,0,1,4,4,0,2,0,2,1,0,0,0,1,5,2,5,1,3,1,0,0,0,2,0,0,1,0,13,1,1,0,4,1,1,1,2,0,0,1,5,2,1,3,4,0,1,1,2,2,1,0,1,3,0,2,2,0,0,1,2,0,1,2,1,0,6,0,4,0,0,0,0,1,0,0,1,1,0,0,0,0,5,0,0,1,1,0,0,2,0,3,9,2,1,0,0,0,3,1,0,3,4,0,0,1,4,0,2,0,0,0,2,0,3,0,1,1,1,3,3,1,2,1,0,3,1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,2,2,1,2,1,0,1,1,0,3,1109
청운효자동,103,7,42,26,17,34,11,3,4,0,2,1,0,0,0,0,9,1,1,0,1,0,0,5,3,0,3,3,1,1,0,0,8,1,5,2,4,0,2,0,0,1,7,3,3,1,3,6,1,0,0,4,1,1,5,0,2,0,0,1,0,2,3,3,8,0,1,0,1,0,0,1,1,0,4,2,1,1,1,6,0,0,0,0,1,0,2,0,0,0,1,1,0,0,0,0,0,1,0,0,0,3,0,1,0,0,2,1,0,0,0,9,1,0,0,0,4,10,1,7,0,0,4,0,0,3,0,2,1,1,0,0,0,0,0,1,0,3,2,1,0,1,0,1,0,0,0,0,1,0,3,1,0,0,0,0,2,0,0,0,5,0,0,1,0,4,1,0,0,2,0,2,1,2,1,1,18,1,0,2,1,2,8,0,5,0,3,10,6,9,0,6,13,17,15,12,7,8,4,3,2,1,5,1,4,9,0,0,1,0,2,1,3,1,2,2,3,5,1,4,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,4,1,2,0,4,1,0,4,0,0,0,3,3,1,0,1,2,5,3,0,0,0,4,1,0,0,1,0,1,1,0,2,0,0,0,1,0,1,0,0,0,0,0,0,5,0,0,0,4,1,0,0,0,1,29,0,0,0,2,1,5,0,1,2,4,0,0,2,0,0,0,2,0,1,2,2,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,1,2,0,4,0,0,0,3,0,1,0,1,0,0,0,4,0,0,0,0,0,0,0,1,4,0,1,1,0,1,2,0,3,0,4,1,4,1,10,0,0,0,0,1,0,0,1,1,1,1,0,2,5,3,1,0,5,0,0,0,0,2,6,0,0,2,5,2,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,889
혜화동,4,4,5,2,2,6,2,18,30,77,1,6,2,2,12,1,0,2,4,0,1,1,9,0,0,6,3,4,1,3,2,0,13,4,1,1,2,1,7,0,1,5,2,0,5,4,4,1,3,3,2,1,6,5,2,6,2,4,0,1,1,1,3,5,4,9,2,1,2,3,2,2,3,0,1,1,1,2,3,3,0,1,2,0,6,2,5,4,3,3,2,2,0,1,2,1,0,0,0,6,1,1,6,0,2,8,1,0,2,1,10,46,1,20,16,15,3,8,24,14,6,6,1,0,5,76,67,30,13,3,3,1,0,12,0,11,2,9,5,3,10,6,3,4,4,5,2,4,0,1,4,6,0,4,7,0,3,9,4,0,1,0,0,2,2,2,1,1,1,1,1,3,7,3,6,2,9,7,0,2,3,5,4,2,2,5,1,13,5,2,1,4,0,6,1,1,2,1,7,5,0,1,7,6,8,7,5,4,7,5,4,3,9,0,3,2,5,5,2,0,6,7,1,1,2,0,0,0,1,0,0,0,1,0,1,2,1,1,7,0,6,2,2,1,2,0,2,1,2,1,6,0,1,1,2,1,0,1,5,6,1,2,3,1,1,4,0,0,0,9,1,1,0,1,7,2,2,2,0,3,0,2,2,0,0,0,3,4,10,3,9,2,1,1,1,2,0,0,2,2,2,13,0,1,7,7,1,3,2,7,2,2,0,4,0,3,5,10,2,4,0,9,13,5,4,4,1,1,12,1,4,1,3,7,4,0,9,0,1,1,1,0,0,2,1,0,3,4,7,1,0,4,0,0,0,3,6,1,1,2,0,3,1,0,5,12,5,4,3,1,1,0,0,2,1,7,1,1,6,7,3,0,4,0,1,0,0,1,1,1,2,1,3,1,2,0,2,1,6,2,6,4,1,1,3,2,1,0,4,0,0,1,0,0,1,2,2,2,1,1,0,1,2,2,2,1575
소공동,15,2,0,1,4,14,0,5,0,1,1,0,0,0,1,1,0,0,3,0,2,0,6,11,0,3,18,0,0,1,0,0,0,0,3,0,1,0,2,0,0,0,4,0,0,0,9,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,4,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,3,0,0,0,0,3,0,2,0,0,5,1,0,0,2,3,15,4,3,2,5,0,0,0,0,21,6,4,2,7,3,2,0,0,1,0,0,0,0,4,0,1,6,3,22,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,11,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,2,1,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,4,3,1,0,0,2,0,1,0,0,0,0,0,2,6,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,1,0,0,1,4,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,359
회현동,3,0,0,0,0,2,0,5,0,1,0,1,0,0,0,0,0,7,0,13,2,3,6,2,1,2,26,1,1,0,0,7,16,1,13,2,4,0,3,0,5,1,1,0,7,5,24,4,0,0,0,0,4,0,0,0,0,1,4,3,0,0,1,0,6,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,2,0,0,0,0,2,4,8,0,0,1,2,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,3,0,2,0,1,0,0,0,0,1,0,3,0,2,0,4,1,1,0,1,0,1,0,2,1,3,7,1,0,0,3,4,0,0,1,1,0,0,0,1,1,5,4,4,6,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,3,0,1,0,1,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,1,0,4,0,0,1,3,1,0,1,1,0,4,0,0,0,1,3,4,0,0,0,2,2,1,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,1,0,0,0,5,0,0,0,19,4,2,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,2,3,0,0,3,0,0,0,0,0,2,1,1,5,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,4,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,425
명동,3,0,0,1,0,3,0,11,2,2,0,0,0,0,3,0,0,3,12,0,9,1,9,8,1,7,9,4,3,2,8,1,2,1,1,0,0,1,9,0,0,3,0,0,3,2,1,6,3,1,1,0,5,0,3,0,0,0,1,0,0,0,1,0,2,1,0,0,0,0,0,1,1,0,0,0,0,1,3,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,1,3,0,2,0,2,0,0,3,1,0,2,1,0,1,1,2,1,2,0,0,0,1,0,0,1,0,1,6,0,0,0,1,1,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,2,1,1,1,0,3,0,3,0,0,0,0,0,1,2,0,0,0,1,1,0,2,0,0,0,0,2,1,0,3,0,3,0,0,0,5,2,0,0,0,2,1,0,0,3,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,3,2,1,0,0,0,0,0,0,0,0,0,0,2,3,0,1,1,1,0,0,1,1,0,0,1,0,3,0,3,0,1,0,0,3,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,6,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,2,3,0,0,0,0,0,0,0,1,1,6,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,2,0,0,0,4,0,0,1,1,0,1,0,2,0,0,1,1,0,0,0,1,0,2,0,1,0,0,1,0,0,1,356
필동,2,0,3,1,0,1,2,2,1,3,1,1,0,0,2,2,9,0,3,5,0,11,39,12,1,6,2,3,7,6,5,1,0,0,2,0,1,1,1,3,1,4,0,0,4,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,0,0,1,0,0,2,0,1,3,1,0,0,0,1,1,0,1,1,4,1,0,1,0,1,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,3,0,0,2,2,1,1,2,3,0,1,1,0,0,1,7,1,2,2,1,1,0,0,0,0,3,0,0,2,0,0,1,1,1,1,5,0,0,0,1,1,0,1,2,3,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5,5,1,1,1,7,3,0,0,1,0,8,3,4,0,2,1,0,0,0,1,0,2,1,0,3,4,2,0,2,1,1,1,1,0,2,0,1,1,0,0,1,2,3,5,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,2,0,0,0,1,4,0,0,0,1,1,0,1,0,1,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,2,3,0,0,0,1,1,1,1,0,4,3,1,1,1,0,0,3,1,1,0,0,1,0,0,0,2,5,1,0,0,0,1,3,1,1,2,0,1,0,1,0,0,2,0,0,2,1,0,0,0,1,1,0,1,0,2,0,0,1,0,0,0,0,0,0,0,1,0,3,0,0,3,0,1,5,0,0,0,0,1,1,0,1,0,5,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,1,0,0,0,1,0,2,1,0,0,0,4,0,0,0,0,0,1,1,0,1,1,0,0,2,1,0,0,0,0,0,0,3,448
장충동,1,3,0,1,0,0,1,0,1,0,0,2,5,0,5,2,1,0,0,1,17,0,19,6,1,21,0,9,32,16,7,9,1,0,1,2,0,0,1,0,1,1,2,1,4,6,3,2,5,5,2,1,1,0,2,1,1,1,3,0,0,0,0,5,1,5,0,1,0,0,3,0,0,0,0,0,2,5,0,0,0,0,3,2,1,2,1,0,2,1,0,2,2,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,2,0,0,1,0,2,0,1,1,1,3,0,0,1,3,5,1,0,1,0,0,0,0,4,1,1,2,0,0,0,1,0,1,1,1,0,1,4,1,2,0,2,0,0,0,0,2,0,1,3,0,0,0,0,0,5,1,0,4,1,4,0,1,0,2,1,2,1,1,6,5,0,0,0,0,1,3,1,0,1,0,4,0,0,0,2,0,0,0,1,2,0,0,1,0,2,1,1,1,1,0,0,2,0,4,0,1,2,1,0,0,1,0,1,0,0,0,1,0,1,1,0,1,1,0,0,0,1,0,1,2,0,2,1,0,5,0,1,2,0,0,0,0,0,0,0,2,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,3,1,0,1,0,0,0,0,1,0,0,3,3,0,1,0,0,0,0,0,0,0,2,1,2,1,1,1,1,0,0,0,1,1,0,2,0,0,0,0,1,3,0,0,0,5,1,2,1,0,1,1,2,0,2,0,0,3,0,1,2,0,0,1,0,1,2,0,0,0,5,0,1,0,0,1,1,0,0,1,1,0,2,1,0,0,0,0,1,4,1,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,1,2,0,1,0,0,1,2,3,0,0,0,0,5,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,1,2,0,0,2,0,0,0,2,1,503
광희동,0,0,1,1,0,0,1,4,1,4,2,4,4,2,3,0,3,1,3,5,26,14,0,40,8,11,4,16,15,9,12,10,3,5,1,5,2,1,1,5,0,0,0,0,8,5,4,1,3,0,0,3,1,1,0,0,1,3,0,0,0,5,4,6,5,0,0,0,1,0,0,0,2,1,3,0,3,0,0,1,1,0,0,0,1,0,4,0,0,2,0,0,0,0,0,0,0,2,0,6,1,0,0,0,0,0,0,1,0,2,1,4,2,2,0,1,0,0,6,2,2,0,3,2,0,4,2,5,1,0,3,0,0,0,0,0,1,6,5,1,2,3,0,0,0,4,0,1,0,1,2,1,0,2,0,0,0,2,0,1,1,0,0,0,3,0,0,0,1,0,0,0,1,3,1,0,1,2,4,4,2,5,1,4,0,0,0,7,2,0,1,0,2,9,4,0,0,0,2,3,0,3,0,1,0,2,2,0,0,1,3,1,0,0,0,4,4,0,0,0,5,11,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,0,0,0,0,0,0,0,3,1,0,0,3,0,0,1,3,0,0,1,0,4,0,0,2,1,0,1,0,1,2,1,0,0,3,3,1,0,0,4,1,0,0,0,2,4,2,4,3,0,1,0,0,0,0,0,1,1,0,8,0,0,0,0,2,0,0,3,1,0,0,0,1,0,0,3,2,0,0,3,1,0,1,3,0,2,2,0,0,1,2,3,3,0,4,1,0,0,0,2,2,0,2,0,1,0,7,0,0,1,0,0,0,0,1,0,0,1,4,1,2,0,1,2,2,0,0,0,0,0,0,0,1,1,4,0,0,5,2,1,0,0,0,0,0,5,0,1,0,0,3,1,2,0,0,2,4,4,0,3,0,1,0,1,0,1,0,2,0,3,1,0,0,1,2,0,3,3,0,1,3,10,2,694
